peku.na,pekuna,a kick. ,na
pele.kia,pelekia,Persia; Persian. ,kia
pekela.la,pekelala,federal. ,la
pekek.eu,pekekeu, ,eu
pelekepulika.no,pelekepulikano,Presbyterian. ,no
peki.na,pekina,Peking. ,na
pekiki.ni,pekikini,"to present, as arms (petikini i nā pū). ",ni
pek.ua,pekua, ,ua
pekelehe.ma,pekelehema,Bethlehem. ,ma
pela.ne,pelane,"plane tree (RSV), chestnut (KJV). ",ne
pelaka.no,pelakano,"plane tree (RSV), chestnut (KJV). ",no
peleka.na,pelekana,pelican. ,na
peleka.ne,pelekane,"Britain, British, England, English, Englishman. ",ne
pekepe.ke,pekepeke, ,ke
peke.na,pekena, ,na
pele.ke,peleke, ,ke
pelu.kia,pelukia,Prussia; Prussian. ,kia
peneka.la,penekala,Bengal. ,la
pelia.la,peliala,friar. ,la
penekui.na,penekuina,penguin. ,na
peleko.na,pelekona,person. ,na
peleli.na,pelelina,Berlin. ,na
pelekike.na,pelekikena,president; presidential. ,na
pelika.na,pelikana,pelican. ,na
peleku.nu,pelekunu,"musty, moldy, or rank odor. ",nu
pelepu.lu,pelepulu,"soaked, drenched, as by rain. ",lu
peluk.ua,pelukua,to turn about; to turn and go back. ,ua
pelo.ni,peloni,felony. ,ni
pelemaka.ni,pelemakani,"propeller, as of an airplane. Niʻihau. ",ni
peneki.ne,penekine,benzine. ,ne
pelupe.lu,pelupelu, ,lu
pelekiu.ma,pelekiuma,Belgium; Belgian. ,ma
pelel.eu,peleleu,"   • extended, either longitudinally or horizontally;
   • long, broad, wide, as a nose; 
   • spreading, extending;
   • extension, projection.    ",eu
pel.ua,pelua, ,ua
pele.na,pelena,"crackers, biscuit, bread. ",na
peleminaha.ma,peleminahama,Birmingham. ,ma
pepeohi.na,pepeohina, ,na
pepe.na,pepena, ,na
pepei.ao,pepeiao,"cotyledon, as of beans. ",ao
pepeiaoh.ao,pepeiaohao,"horn of an animal; trumpet or horn made of an animal's horn. (Hal. 118.27)  lit., iron ear. ",ao
peniki.la,penikila,painkiller. ,la
pepami.na,pepamina,peppermint (Mentha piperita). ,na
pepe.ua,pepeua,"hard, thick, disobedient. ",ua
pepeh.ua,pepehua, ,ua
penupe.nu,penupenu, ,nu
pep.eu,pepeu, ,eu
pepake.ne,pepakene,Cayenne pepper (Capsicum annuum cv. ‘longum’). ,ne
penope.no,penopeno,"dirty, smutty. ",no
pikume.na,pikumena,coal. ,na
piha.na,pihana,"fullness, filling up, completion. ",na
piliha.la,pilihala,"wind associated with Kaʻawaloa, Hawaiʻi. lit., near pandanus. ",la
pie.na,piena,"offensive to smell, stinking. ",na
pihu.lu,pihulu,"hairy, fuzzy. ",lu
pikini.ki,pikiniki,picnic. ,ki
pikima.na,pikimana,bituminous; coal. ,na
pilapil.au,pilapilau,"somewhat bad-smelling, not quite spoiled. ",au
pihaweuw.eu,pihaweuweu,"temporary bed made of dry ʻilima branches, dried banana leaves and grasses, over which a mat or two were spread. ",eu
pikaw.ai,pikawai,"to pick up, as a rooster picks up food. ",ai
pikaka.ni,pikakani,"a rattlebox (Crotalaria pallida, formerly known as C. mucronata), known in many tropical countries, a small, weedy, shrubby legume with three-parted leaves, yellow flowers striped with red, and many-seeded pods to 5 cm long. ",ni
piha.no,pihano,"silent, weak-voiced. ",no
piep.ie,piepie, ,ie
pikani.ni,pikanini,"small (slang, from pickaninny). ",ni
pikipi.ki,pikipiki,"to pinch or squeeze, as in milking. ",ki
pikine.ki,pikineki,business. ,ki
pikekak.io,pikekakio,pistachio (Pistacia vera). ,io
pilawaiw.ai,pilawaiwai,"account, reckoning, as of an estate; invoice. ",ai
Domain,Word,Definition,TLD
pilawaiw.ai,pilawaiwai,"account, reckoning, as of an estate; invoice. ",ai
pikaw.ai,pikawai,"to pick up, as a rooster picks up food. ",ai
pikekak.io,pikekakio,pistachio (Pistacia vera). ,io
pihu.lu,pihulu,"hairy, fuzzy. ",lu
piki.ki,pikiki, ,ki
pikini.ki,pikiniki,picnic. ,ki
piep.ie,piepie, ,ie
piha.no,pihano,"silent, weak-voiced. ",no
piliha.la,pilihala,"wind associated with Kaʻawaloa, Hawaiʻi. lit., near pandanus. ",la
pikume.na,pikumena,coal. ,na
pihaweuw.eu,pihaweuweu,"temporary bed made of dry ʻilima branches, dried banana leaves and grasses, over which a mat or two were spread. ",eu
pie.na,piena,"offensive to smell, stinking. ",na
pilih.ua,pilihua,"   • sad, sorrowful, dejected, 
   • astonished, 
   • confused (Ier. 14.9) ,
   • bewitched (Oih. 8.9) ; 
   • weary.    ",ua
piha.na,pihana,"fullness, filling up, completion. ",na
pikima.na,pikimana,bituminous; coal. ,na
pikaka.ni,pikakani,"a rattlebox (Crotalaria pallida, formerly known as C. mucronata), known in many tropical countries, a small, weedy, shrubby legume with three-parted leaves, yellow flowers striped with red, and many-seeded pods to 5 cm long. ",ni
pilapil.au,pilapilau,"somewhat bad-smelling, not quite spoiled. ",au
pikani.ni,pikanini,"small (slang, from pickaninny). ",ni
pikine.ki,pikineki,business. ,ki
pina.na,pinana,to climb; a climb. ,na
pilika.na,pilikana,"(probably pili, to cling, + -kana, nominalizer.) 
   • relation, relationship, 
   • kin, family.     ",na
pin.ao,pinao,dragonfly. ,ao
pilim.ua,pilimua,"gram. article, the part of speech: ke, ka, he, nā. ",ua
pili.na,pilina,"association, relationship, union, connection, meeting, joining, adhering, fitting. ",na
pilik.ua,pilikua,"   • giant, 
   • large strapping fellow, 
   • country person, one living in the country; countrified.    ",ua
piliwaiw.ai,piliwaiwai,"gambling, betting, gambler; to bet, gamble. lit., to wager wealth. ",ai
pilim.ai,pilimai,"a native variety of sugar cane, a yellow-green mutant of ʻakilolo; used in hana aloha, love sorcery, with the prayer for love to cling and hold fast. ",ai
pilupi.lu,pilupilu, ,lu
piliki.no,pilikino,"   • personal, 
   • private, 
   • subjective, 
   • worldly. ",no
pinila.na,pinilana,"Finland, Finnish. ",na
pilil.ua,pililua,"name of a pair of stars, said to bring ʻōpelu fish. ",ua
pilika.ne,pilikane,Brittany. ,ne
pilipilika.na,pilipilikana, ,na
pine.ki,pineki,peanut (Arachis hypogaea). ,ki
pilik.ai,pilikai,"a vine (Stictocardia tiliaefolia) in the morning-glory family, native from India eastward, possibly into Polynesia, long known in Hawaiʻi, as on roadsides and rocky shores. Flowers are funnel-shaped, rose-purple, about 5.1 cm in diameter, the leaves heartshaped. ",ai
pilikahak.ai,pilikahakai,"shore, especially the area between high and low tides; near the shore. ",ai
pili.moe,pilimoe,name of one of the tapas in the game of pūhenehene. ,moe
pilina.moe,pilina moe,bedsprings. ,moe
pipi.ki,pipiki,"shrunk, crinkled; tight, cramped. ",ki
piu.la,piula,"mule, donkey (Molokaʻi). ",la
pipili.kia,pipilikia, ,kia
pipi.na,pipina, ,na
poha.lu,pohalu, ,lu
poini.kia,poinikia,Phoenicia; Phoenician. ,kia
pohoka.no,pohokano,hollow stone containing kukui oil used as a lamp (Malo 63); palm of the hand (stingy). ,no
poha.la,pohala,"   • to revive after fainting, recover consciousness; 
   • to recover from sickness; recovery.
   • relieved of worry; relief, rest,    ",la
pohol.ua,poholua,"to billow out, as sails. ",ua
poholel.ua,poholelua,"slow, as a vessel; unskilled, bungling, as in mechanical work. ",ua
pokepo.ke,pokepoke, ,ke
poka.ke,pokake,mushroom-shaped; head of the penis. ,ke
pipi.ne,pipine,promiscuous; promiscuous person. ,ne
pinopi.no,pinopino, ,no
pokeko.na,pokekona,Boston. ,na
poho.na,pohona,"sinking in, caving in, hollowing, as cheeks of an aged person; settling; bend, as in a U-shaped fish-hook. ",na
pohe.ke,poheke,"forced out, squeezed. ",ke
pipi.li,pipili,tenacious. ,li
piu.ke,piuke,beauty. ,ke
poli.na,polina,"resplendent, shiny black. ",na
polohi.na,polohina,"gray, misty, smoky. fig., affectionate grief, pity. ",na
pokepo.la,pokepola,phosphorus. ,la
poli.kia,polikia,"tied tightly, not easily unfastened. fig., severe suffering. ",kia
polapo.la,polapola,"recovered from sickness; well, after sickness; to get well, convalesce; filling out, as after loss of weight; sprouting, as a bud. ",la
pokuka.la,pokukala,Portugal. ,la
pokipo.ki,pokipoki,"a parasitic isopod found clinging to the skin, gills, fins, mouths, and tails of fish. ",ki
polik.ua,polikua,"the dark, invisible beyond, as on beyond the horizon or in the upper stratum. lit., back bosom. ",ua
polene.kia,polenekia,Polynesia; Polynesian. ,kia
pokiul.ai,pokiulai,Fourth of July. ,ai
pokiw.ai,pokiwai,"a drink of either warm or cold water, with sugar and cream. ",ai
poloka.ke,polokake,slippery; wobbly; saturation. ,ke
poloh.ua,polohua, ,ua
poki.ni,pokini,boatswain. ,ni
polokala.ma,polokalama,"program, a term invented in the mid-1970s for the Hawaiian language radio program. ",ma
polohila.ni,polohilani, ,ni
pole.ke,poleke,to have lost property by authority of a chief. ,ke
pole.mo,polemo, ,mo
poko.ke,pokoke,"kidney disease, urinary leakage. ",ke
polipo.li,polipoli,"a soft, porous stone as used for polishing or for octopus lure sinkers ",li
polole.na,pololena,Florence. ,na
pomeikala.na,pomeikalana,"the pomegranate (Punica granatum), an ornamental and fruit-bearing shrub from Persia. ",na
pope.la,popela,poplar. ,la
polopolo.na,polopolona,"musty odor; rancid, moldy odor, as of mildewed clothes; stuffy or stale smell of a room long closed. ",na
polopolo.ua,polopoloua,"unripe, growing pandanus fruit. ",ua
ponopo.no,ponopono,"neat, tidy, in order, arranged, cared for, attended to, administered. ",no
ponapo.na,ponapona,jointed. ,na
polo.na,polona, ,na
polupo.lu,polupolu,"flabby, fat. ",lu
ponokala.pa,ponokalapa,phonograph. ,pa
ponipo.ni,poniponi, ,ni
pololoh.ua,pololohua, ,ua
ponulu.lu,ponululu, ,lu
pomekela.ne,pomekelane,pomegranate. ,ne
polo.ke,poloke,"broken; broke, without funds (slang). ",ke
pomelai.ke,pomelaike,pomegranate. ,ke
ponunu.nu,ponununu, ,nu
ponoko.pe,ponokope,"copyright; to copyright; to copy in any way, not necessarily properly. ",pe
popo.ke,popoke, ,ke
puahu.lu,puahulu, ,lu
popopo.no,popopono, ,no
puaha.la,puahala,design in tapa and patchwork quilts. ,la
puaka.la,puakala,"to assume the appearance of kala seaweed, said of octopus in the sea. ",la
popolo.na,popolona, ,na
puah.io,puahio,"to come and go swiftly, as a puff or gust of wind. ",io
popo.ni,poponi, ,ni
puak.ai,puakai, ,ai
pouo.no,pouono,fishing net. ,no
puakawaih.ae,puakawaihae,a variety of taro. ,ae
puaanea.ne,puaaneane,"extremity of life, extreme old age. ",ne
pouha.na,pouhana,"post set in the middle of each end of the house, supporting the ridgepole. fig., support, mainstay, as of a family. ",na
puahi.na,puahina,gray. ,na
pou.na,pouna, ,na
pouama.nu,pouamanu, ,nu
puakauahihaehaekama.nu,puakauahihaehaekamanu,"a lua fighting stroke. lit., the smoke blows, the birds rage. ",nu
poropole.me,poropoleme,problem. ,me
puahioh.io,puahiohio,"whirlwind, gust. fig., worthless talk. ",io
puaheki.li,puahekili,"one of the native loosestrifes (Lysimachia hillebrandii). lit., thunder flower. ",li
popo.li,popoli,"arched, curved, warped. ",li
pouoma.nu,pouomanu,"house post; post designating place of human sacrifice, said to be named for an ancient deity; center post. see illus. 1, illus. 2, illus. 3 ",nu
pui.ki,puiki, ,ki
puama.na,puamana,caret sign of omission. ,na
pua.na,puana,"pronunciation, utterance. ",na
puhaha.lu,puhahalu, ,lu
puanak.au,puanakau,"the star Rigel, tutelary star of West Maui. ",au
puhi.na,puhina,"same as puhi₁,₂,₃; blowhole (preceded by ke). ",na
puap.ua,puapua,"   • tail feathers, as of a cock; 
   • rump, as of a chicken; 
   • streamer; 
   • coattails; 
   • this word is used as a means of avoiding answering questions:   ",ua
puale.na,pualena,"yellow color; to appear yellow, as said of dawn or muddy water. ",na
puha.lu,puhalu,"   • soft, flabby, 
   • loose, to loosen, 
   • sagging, sag. 
   • sunken, sink,
   • deflated; deflate,  
   • fig., unenthusiastic, relaxed, weak.    ",lu
pukai.hu,pukaihu,hole in pearl-shell shank. ,hu
puepue.hu,puepuehu, ,hu
pual.au,pualau,"to carry on the hip, as a child. ",au
pukahi.pa,pukahipa,sheep market. ,pa
puakoa.li,puakoali,a tapa colored by beating in sandalwood. ,li
puakeleki.no,puakelekino,"a spiny climbing vine (Caesalpinia sepiaria) from India, first grown in Kaʻū, Hawaiʻi, by Father Celestino.  lit., Celestino flower. ",no
pue.hu,puehu,"   • scattered, dispersed, routed, gone, 
   • tousled; every which way, as hair in the wind,
   • fine, crumbling.    ",hu
pua.lu,pualu,"a species of surgeonfish (Acanthurus xanthopterus and A. mata), up to 15 and 20 cm in length and brown or dull-gray in color. It resembles the palani in tough skin and strong smell but may be distinguished from the latter by a blue line across the soft part of the fin. ",lu
puaoka.ma,puaokama,"a gourd (Sicyos niihauensis), first collected and identified by H. St. John. cf. kūpala and (Neal 808). ",ma
puhi.ao,puhi ao,an eel (Muraena pardalis). ,ao
puaokala.ni,puaokalani,"false daisy (Eclipta alba).  lit., flower of the chief [or heaven]. Niʻihau. ",ni
puhe.mo,puhemo,"loose, set free, released, taken off. ",mo
puana.ne,puanane,name of a star. ,ne
pulika.na,pulikana,puritan. ,na
puleki.na,pulekina,bulletin. ,na
pukanawi.la,pukanawila,"large woody vines (Bougainvillea spp.) from Brazil, bearing during their long flowering time masses of bright-colored bracts, which accompany small hidden flowers. Flower bracts are purple-red, rose-red, brick-red, and orange to whitish. ",la
pukaka.la,pukakala, ,la
pulupu.lu,pulupulu,"redup. of pulu₁, wet, moist, soaked, saturated... ",lu
pulapu.la,pulapula,"seedlings, sprouts, cuttings, as of sugar cane. ",la
pulukeli.na,pulukelina,Brooklyn. ,na
puka.na,pukana,"outlet, exit, issue, exodus, descendant. ",na
pulu.na,puluna,"one's child's parents-in-law or aunts and uncles by marriage; kāne, male, and wahine, female, may follow. ",na
puleleh.ua,pulelehua,"butterfly, moth, the Kamehameha butterfly (Vanessa tameamea). ",ua
puleh.ua,pulehua,to gum lehua flowers for the purpose of catching birds. ,ua
puluw.ai,puluwai,land patch. ,ai
puk.ua,pukua,"to offer, as a fish. ",ua
pulu.ma,puluma,plum. ,ma
pulekako.li,pulekakoli,purgatory. ,li
pulel.ua,pulelua,to hurry. ,ua
puleipu.lu,puleipulu,"rancid, musty. ",lu
pule.ma,pulema,Burma. ,ma
puluke.ne,pulukene, ,ne
pulehe.ke,puleheke,"to gather together, as canoes. ",ke
pukap.ai,pukapai,"to rebuke mildly, as because of affection. ",ai
uananahu.ki,uananahuki,tapa beater. ,ki
uai.ki,uaiki,"offspring of a chief and a mother of no rank. lit., little rain. ",ki
pumeha.na,pumehana,"warm, warm-hearted; warmth, affection. ",na
pup.ua,pupua, ,ua
punahe.lu,punahelu,"moldy, mildewed. ",lu
pune.lu,punelu, ,lu
puwa.lu,puwalu,"all together, in unison, united, cooperative. (cf. -walu, many, as in makawalu, olowalu.) ",lu
punal.ua,punalua,"formerly, spouses sharing a spouse, as two husbands of a wife, or two wives of a husband; also, wives of brothers, husbands of sisters (no sexual privileges); sister-in-law (Ruta 1.15) . ",ua
pupu.lu,pupulu, ,lu
pumaha.na,pumahana, ,na
punih.ai,punihai,"fearful, afraid; to run off in fear. ",ai
puo.ni,puoni,"to save, preserve. ",ni
punipu.ni,punipuni,"lie, to tell a lie, cheat; liar. ",ni
puola.ni,puolani,"to place high, or in a lofty or sacred place. ",ni
uale.hu,ualehu,"gray, ashy-gray. ",hu
pupup.ua,pupupua, ,ua
punono.no,punonono, ,no
pupu.ni,pupuni, ,ni
punapu.na,punapuna,"mealy, firm, not soft or soggy, as taro or sweet potato. ",na
uhaluha.lu,uhaluhalu, ,lu
uhi.na,uhina,covering; throw or cast net. ,na
uhiki.no,uhikino,"body covering, garment, shield. ",no
uhalu.la,uhalula, ,la
uhale.na,uhalena,"lazy, overstuffed with food. lit., lazy colon. ",na
uheh.eu,uheheu,to fly or hurry as though on wings (ʻēheu). ,eu
uhauh.au,uhauhau, ,au
uha.lu,uhalu,to deplete. ,lu
uhauhu.mu,uhauhumu,"to sew together, as sails; to lay together, as stones in a wall; to interlock. ",mu
uhu.ao,uhuao, ,ao
uho.ni,uhoni, ,ni
uhe.mo,uhemo, ,mo
uhahe.mo,uhahemo,hemorrhoids. ,mo
uhi.moe,uhi moe,bedspread. ,moe
uha.ki,uhaki, ,ki
uhiw.ai,uhiwai,"heavy fog, mist. lit., water covering. ",ai
uki.one,ukione,extreme unction. ,one
uleha.la,ulehala,aerial pandanus roots. ,la
ulualo.no,ulualono,genealogist in the hale nauā. ,no
ukiu.ki,ukiuki,"   • anger, resentment (FS 129); angry, annoyed, offended, vexed, displeased (2-Sam. 6.8) , irritated, peeved; petulant.
   • to hate (Kin. 50.15) ; 
   • fierce, 
   • adverse, as a wind;    ",ki
ukup.au,ukupau,"piece labor, pay by the job rather than according to time, as on sugar plantations; used in pidgin for any work that everyone should pitch in gladly to finish; contract labor. lit., finished pay. ",au
ukuhi.na,ukuhina,"a pouring out, dipping, weaning. ",na
ula.na,ulana,"to plait, weave, knit, braid; plaiting, weaving. ",na
uiuila.ni,uiuilani, ,ni
ukuw.ai,ukuwai,"place in the grass house where host and guests visited, between the sleeping place and the door. ",ai
uluh.ua,uluhua,"vexed, annoyed, discouraged, displeased (1-Nal. 20.43) , harassed, weary, offended, angry, upset. ",ua
uka.mu,ukamu,oakum. ,mu
uli.ma,ulima,Urim. ,ma
uila.ni,uilani,"   • to chafe under control, irritated by restraint; 
   • fret; 
   • restless, 
   • constantly seeking pleasure, 
   • spirited, 
   • flighty.   ",ni
ukoko.mo,ukokomo,to enter together. ,mo
ukauk.ai,ukaukai,"fat, feeble. ",ai
uluk.ai,ulukai,"water chestnut. lit., sea growing. ",ai
uka.li,ukali,"   • to follow, come after, succeed, attend, accompany, escort; 
   • follower, attendant; 
   • complement, as in grammar; 
   • reserve.    ",li
ulup.au,ulupau,to gather together; to go everywhere. ,au
unau.na,unauna,hermit crabs in general. ,na
una.na,unana, ,na
unio.na,uniona,"union, labor union. ",na
uluka.ke,ulukake, ,ke
uluu.lu,uluulu,growing things. ,lu
uluk.ua,ulukua, ,ua
uluwe.la,uluwela, ,la
ulu.na,uluna,"pillow, cushion, formerly made of pandanus; to use as a pillow (Kin. 28.18) . headrest (e.g. dentist's chair) (HE). ",na
umuak.ua,umuakua, ,ua
ulup.ua,ulupua, ,ua
unikal.io,unikalio,Unitarian. ,io
u.me,ume, ,me
uniha.pa,unihapa, ,pa
unahiu.hu,unahiuhu,a variety of sweet potato. ,hu
uneu.ne,uneune, ,ne
umau.ma,umauma,"chest, breast. fig., heart, character. ",ma
ulupu.ni,ulupuni,"overcome by emotion, hysteria, passion, or an occult influence. ",ni
uluma.no,ulumano,"a strong wind blowing from a given direction in each locality, as a strong southeast wind in Kaʻū and Puna, Hawaiʻi, and at Kāneʻohe, Oʻahu. lit., blowing hard. ",no
wahi.moe,wahi moe,"bed (Hal. 132.3) , place to sleep. ",moe
unuhi.na,unuhina,translation. ,na
wahieokeo.la,wahieokeola,"lignum vitae (Guaiacum officinale), a small tree from tropical America, with heavy, hard wood, useful for many purposes. The resin yields medicine and stain. The tree is also ornamental, each leaf with two or three pairs of rounded leaflets, the flowers blue and clustered, the fruits yellow and heart-shaped. ",la
wae.na,waena,"cultivated field, garden, vegetable plot. ",na
unu.na,ununa, ,na
waew.ae,waewae,selective. ,ae
wahama.na,wahamana,"screen, shutter. ",na
waiak.ua,waiakua,"distant, aloof, unsociable, exclusive, as of a chief too high to mingle with others. lit., godly blood. ",ua
waia.hu,waiahu, ,hu
unul.au,unulau,"a wind famous in song noted on Kauaʻi, West Maui, and Niʻihau; according to (Emerson) (UL 196), the trade wind. ",au
unono.ke,unonoke, ,ke
uwenewe.ne,uwenewene,unclean in habits. ,ne
wahi.ne,wahine,plant names. (see table above). ,ne
wahu.lu,wahulu, ,lu
wahaw.ai,wahawai,"to talk glibly, brag. lit., watery mouth. ",ai
unuu.nu,unuunu,"   • to singe, as the feathers of a chicken before dressing it, or the hairs of a pig or dog by rolling it over hot oven stones; 
   • to pluck, as feathers from a fowl.   ",nu
waenako.nu,waenakonu,"center, middle, midway. ",nu
Domain,Word,Definition,TLD
wahi.moe,wahi moe,"bed (Hal. 132.3) , place to sleep. ",moe
wahaw.ai,wahawai,"to talk glibly, brag. lit., watery mouth. ",ai
wahieokeo.la,wahieokeola,"lignum vitae (Guaiacum officinale), a small tree from tropical America, with heavy, hard wood, useful for many purposes. The resin yields medicine and stain. The tree is also ornamental, each leaf with two or three pairs of rounded leaflets, the flowers blue and clustered, the fruits yellow and heart-shaped. ",la
unul.au,unulau,"a wind famous in song noted on Kauaʻi, West Maui, and Niʻihau; according to (Emerson) (UL 196), the trade wind. ",au
waiak.ua,waiakua,"distant, aloof, unsociable, exclusive, as of a chief too high to mingle with others. lit., godly blood. ",ua
wahu.lu,wahulu, ,lu
uwenewe.ne,uwenewene,unclean in habits. ,ne
waia.hu,waiahu, ,hu
wahi.ne,wahine,plant names. (see table above). ,ne
unuhi.na,unuhina,translation. ,na
wae.na,waena,"cultivated field, garden, vegetable plot. ",na
waew.ae,waewae,selective. ,ae
unu.na,ununa, ,na
wahama.na,wahamana,"screen, shutter. ",na
unuu.nu,unuunu,"   • to singe, as the feathers of a chicken before dressing it, or the hairs of a pig or dog by rolling it over hot oven stones; 
   • to pluck, as feathers from a fowl.   ",nu
waenako.nu,waenakonu,"center, middle, midway. ",nu
waioki.la,waiokila, ,la
wail.au,wailau,"place names on Hawaiʻi, Kauaʻi, and Molokaʻi. ",au
waih.au,waihau,"a heiau where hogs, bananas, and coconuts were sacrificed, but not human beings; a heiau for moʻo spirits. ",au
waiolo.no,waiolono,"careful, cautious about what one says. ",no
waima.no,waimano,stone from which octopus sinkers were made. ,no
waimaka.ua,waimakaua,services to get rain. ,ua
wai.ua,wai ua,rain water. ,ua
wail.ua,wailua,"spirit, ghost; remains of the dead. ",ua
waika.ua,waikaua,a war temple. ,ua
waiku.lu,waikulu,alcohol. ,lu
waipalupa.lu,waipalupalu,name recorded for a variety of sweet potato. ,lu
waie.hu,waiehu,a file; formerly a rough stone used to grind and polish. ,hu
waih.ae,waihae,"agricultural land term commonly used in the 1840s, especially on Maui; meaning unknown. ",ae
wakineko.na,wakinekona,Washington. ,na
waioli.na,waiolina,violin. ,na
waiho.na,waihona,"depository, closet, cabinet, vault, file, receptacle, savings, place for laying up things in safe-keeping; internal organs of the body, funds, treasury; fiscal. (wai₄ + iho, directional, + -na, nominalizer.) Numerous types of waihona are listed below. ",na
waiohi.nu,waiohinu,"all kinds of cultivated dahlias (Dahlia spp.), named for a town on Hawaiʻi where the plant was first grown. ",nu
waile.na,wailena,"bile. lit., yellow water. ",na
wakika.na,wakikana,Vatican. ,na
wani.la,wanila,vanilla. ,la
wauw.au,wauwau,to travel off the path or crookedly. ,au
walawa.la,walawala,"redup. of wala, 
   • to tilt, as a canoe in waves
   • lift backwards, 
   • fall backwards; 
   • to throw backwards, as with a backhand flip....; ",la
wau.ke,wauke,"the paper mulberry (Broussonetia papyrifera), a small tree or shrub, from eastern Asia, known throughout the Pacific for its usefulness. It belongs to the fig or mulberry family. The bark was made into tough tapa used for clothing, bed clothes; it lasted longer than māmaki tapa. ",ke
waoh.ua,waohua,to plot to trap. ,ua
wanako.ua,wanakoua,Vancouver. ,ua
waluwa.lu,waluwalu, ,lu
wawa.lu,wawalu, ,lu
wanawa.na,wanawana,"   • spiny, thorny, as cactus; 
   • spiked, pointed; 
   • sharp, as jagged cliffs, spine, quills. ",na
wali.na,walina,softness. ,na
waloi.na,waloina, ,na
walewale.na,walewalena,slimy discharge. ,na
wawa.na,wawana, ,na
walu.na,waluna,"clawing, scratching. ",na
welawe.la,welawela, ,la
wewe.la,wewela, ,la
welewelel.au,welewelelau,very end of the tip. ,au
welel.au,welelau,"to touch the tip, as of a spear. ",au
weloki.ke,welokike,velocity. ,ke
wekewe.ke,wekeweke,"to open, as a crack. ",ke
wewe.ke,weweke,prayer for luakini dedication. ,ke
wike.ke,wikeke,whiskey. ,ke
wewewe.ke,weweweke, ,ke
weuw.eu,weuweu,"   • herbage, grass, greenery; 
   • bushy or fuzzy, as a beard; 
   • fluffy.    ",eu
weluwe.lu,weluwelu,"redup. of welu₁, rag, ragged fragment; ragged, frayed, tattered...; shredded to bits. ",lu
wele.hu,welehu,a deep sea fish resembling the hāuliuli. ,hu
welo.na,welona, ,na
wehe.na,wehena,"   • opening, unfastening, taking off; 
   • solution, as of a problem. ",na
weli.na,welina,"a greeting of affection, similar to aloha; a salutation in a letter, in longer form as follows: ",na
wenawe.na,wenawena, ,na
wewe.na,wewena, ,na
wewe.li,weweli,somewhat afraid (less strong than weliweli). ,li
weliwe.li,weliweli,"   • violent, dreadful, horrible, fearful, ferocious; 
   • revered; 
   • respectful, as of the word of a chief; 
   • full of awe.    ",li
wili.au,wiliau,"   • to stir, 
   • circulate, 
   • move in eddies; 
   • mixed currents and eddies; 
   • turbulent.   ",au
wilin.au,wilinau,"to writhe, twist, wriggle. ",au
wuleka.ke,wulekake,Vulgate. ,ke
wuleku.la,wulekula,vulture. ,la
wikilio.la,wikiliola,vitriol. ,la
wio.la,wiola,viol. ,la
wiluwi.lu,wiluwilu, ,lu
winiha.pa,winihapa,"brick, named for Captain Winship, said to have brought the first bricks to Hawaiʻi. ",pa
wiliki.ne,wilikine,Virgin. ,ne
wiliw.ai,wiliwai,"eddy, whirlpool. ",ai
wiliwiliw.ai,wiliwiliwai,"lawn sprinkler. see song, koʻiawe. ",ai
wikiwa.ma,wikiwama,wigwam. ,ma
wiliki.na,wilikina,"sister, nun (Catholic). ",na
wilemiko.na,wilemikona,Wilmington. ,na
wiliwi.li,wiliwili, ,li
