Word,Definition
ʻahiʻahi,"to defame, slander, tattle against; false report, defamation, slander. "
ʻāhiahia,"faint, obscure, faded; dim, as colors in tapa or cloth. "
ahiahihia, 
Ahiahi Kalikimaka,"Christmas Eve, Christmas night. "
Ahiahi Makahiki Hou,New Year's Eve. 
ahi ʻai honua,"volcano, volcanic fire. lit., fire destroying land. "
ʻāhiehie,"silvery gray, faded. Niʻihau. "
ʻāhihi₁,"a low spreading bush (Metrosideros sp.), formerly numerous in Nuʻuanu. Also ʻāhihi lehua, lehua ʻāhihi, ʻāhihi kū ma kua. "
ʻāhihi₂,"any plant with long runners or creepers, as cup of gold; any creeping vine. "
ʻahi kananā, 
ahikao,"fireworks (perhaps from Eng. scow [kao], as fireworks were first displayed from ships of explorers). "
ahikao lele,"skyrocket, rocket. "
ahikoe,"match. lit., scratching fire. "
ahi koli,"to pass fire from one candlenut to the next on a chain (koli) or candlenut torch. lit., to fire the torch. "
ʻahiku,seven (especially in counting in a series); seven times. 
ahi lele,"fire fountain, firebrands thrown over cliffs at Kamaile, Kauaʻi. see ahi and chant, Kauahae. "
ʻāhilu,bits of crustacea and bones found at the opening of an octopus burrow. 
ahimakani,"gasoline. lit., wind fire. "
ʻāhina₁,"gray, gray- or white-haired. "
ʻāhina₂,"blue denim cloth, dungarees, blue jeans. "
ʻāhinahina₁, 
ʻāhinahina₂,"the silver-sword (Argyroxiphium sandwicense), a native plant found only at altitudes of 1,870 m or more on Maui and Hawaiʻi; the many long silvery leaves forming a rounded rosette to 60 cm in diameter; about a hundred purplish, daisy-like flowers borne on an erect, leafy stem, which is about 1.8 m high. "
ʻāhinahina₃,"a native spreading shrub to 1 m high, (Artemisia australis); leaves divided into narrow segments, hoary on under side; flowers in panicles, small, daisy-like. Pounded leaves are used for asthma. "
ʻāhinahina₄, 
ʻāhina kuahiwi,"a native fern (Cyrtomium caryotideum), with fronds 25 to 35 cm long, once divided into 6 to 18 broadly sickle-shaped pinnae, lobed at the base. "
ahio,"lazy, indolent; to shirk work, loiter. "
ʻahi pālaha,"albacore, Thunnus alalunga (family Scombridae). lit., flat ʻahi. "
ahipele,match. 
ahi pōkaʻuwili,pinwheel (fireworks). 
ʻāhiu₁,"   • wild, untamed, as animals or plants. 
   • shy, of people (NKE12)   "
ʻĀhiu₂,"name of a wind common in the mountains of Kahana, Oʻahu and by the sea. "
ʻāhiuhiu, 
ʻāhiwa,"dark, dusky, somber. "
aho₁,"line, cord, lashing, fishing line, thong, kite string. "
aho₂,breath; to breathe. 
aho₃,"it is better or preferable (used after e, sometimes in comparisons). "
ʻaho,thatch purlin. Also ʻaʻaho. 
ʻahohui,thatch purlin support. 
ʻaho kā,small lashing on the pueo main purlin. 
ʻahokele,horizontal thatch purlin. 
ʻaho kopekope,name given for roof thatching on top of the ridgepole. 
āhole,"an endemic fish (Kuhlia sandvicensis) found in both fresh and salt water. The mature stage is āhole, the young stage āholehole. Because of the meaning of hole, to strip away, this fish was used for magic, as to chase away evil spirits and for love magic. It was also called a ""sea pig"" (puaʻa kai) and used ceremonially as a substitute for pig. Foreigners were sometimes called āhole because of the light skin of the fish. "
Aholehia,stroke in lua fighting. 
āholehole,"young stage of the āhole, Hawaiian flagtail. "
ʻaholo,"sliding rock, landslide, avalanche. "
aholoa,"lit., long-breath. "
aho loa,"long line, as with several hooks for deep-sea fishing or for sounding. "
aho lolo, 
ahona,"better, well, well-being, fortunate, improved; to need (aho₃ + -na). "
ahonui,"   • patience; patient, 
   • enduring, 
   • long suffering; 
   • to tolerate. 
   • lit., great breath.    
see ex., lawe₂, makua. "
aho ʻōwili,"lashing fastening kaupaku roof to kua ʻiole, upper ridgepole. "
ʻaho piʻo kuahui,thatch purlin support. 
aho pueo,lashing on the pueo main purlin. 
ʻaho pueo,main purlin in a house. 
ahu,"   • heap, pile, collection, mound, mass; 
   • altar, shrine, cairn; 
   • a traplike stone enclosure made by fishermen for fish to enter; 
   • laid, as the earth oven. "
ʻahu,"   • garment or covering for the upper part of the body and shoulders, as a cape, shirt, coat; 
   • to put on or wear such; 
   • fine soft mat, formerly often used as a cloak; 
   • mat used as a canoe cover; 
   • short for ʻahu ʻula.   "
āhua,"var. spelling of ʻāhua₁
   • to swell, as a wave; 
   • heap, mound, hillock, knoll, pile; 
   • heaped, humped; 
   • tremendous. "
ʻāhua₁,"   • to swell, as a wave; 
   • heap, pile; heaped, humped; 
   • mound, hillock, knoll, 
   • tremendous.    "
ʻāhua₂,"young, as of the aku, kawakawa and moano fishes. "
ahuahu,"healthy, vigorous; strength and vigor, as of animal or plant; to grow rapidly, thrive. "
ahu ʻai,"to overeat, waste food, squander. "
ahuake, 
ʻāhua lālā kukui,"kukui branches strewn about, as after a storm. "
ʻahu ʻao,"choice mat of fine strands of soft white young pandanus leaves, about 3 cm mesh. "
ahu ʻawa,kava dregs. 
ʻahuʻawa₁,"a sedge (Cyperus javanicus) about .3 to 1.3 m high, with a basal tuft of long narrow leaves and a radiating inflorescence borne at the tip of a long slender stem. "
ʻahuʻawa₂,"another coarse sedge (Cyperus hypochlorus) similar to the preceding one, but with green instead of brown flowers. "
ʻahuʻawa haole,"the umbrella plant, a leafless ornamental sedge (Cyperus alternifolius), 30 to 180 cm high, the umbrella-shaped flowering head with about 20 grasslike rays at the top of a slender stalk. "
ahue,"to make two thicknesses by folding; to double up, fold, as paper or tapa. "
ʻahu hīnano,"soft, fine mat garment plaited from fine strands of dried bracts of male pandanus fruit. "
ʻāhui,"bunch or cluster, as of bananas, grapes; whole pandanus fruit consisting of keys. "
ʻāhui hala₁,pandanus fruit. 
ʻāhui hala₂,protuberance of the vagina resulting from syphilis; the roughness of the skin was thought to suggest the pandanus fruit. 
ahukū,"to stone to death; slaughter by burying the victim under a pile of stones. Hākau, half brother of ʻUmi, was killed in this fashion (FS 141), and this method was used unsuccessfully against the hero Kawelo (FS 107). "
ahu lāʻi,ti-leaf raincoat or cape. 
ahulau,"   • pestilence, epidemic, 
   • heaped up, as dead bodies.   "
ahuliʻu,"overheated, as over stones; white-hot. "
ahulu,"overdone, overcooked; overcultivated, as soil. "
ʻahulu,"discolored, foamy, feathery, choppy, uneven, mussed. "
ʻāhuluhulu₁,young of the kūmū fish. 
ʻāhuluhulu₂, 
ʻahu moena,"fine patterned mat, plaited with materials of different colors. "
ahuna,"pile, heap. "
ʻahuna,"coat, garment, ti-leaf raincoat. "
ahunāliʻi,a land division. 
ʻahunāliʻi₁,"a tapa for chiefs, colored with candlenut and noni and striped red. "
ʻahunāliʻi₂,issue of a union of a male chief and a commoner. 
āhunihuni,name given for a fish of the ʻōpakapaka type. 
ʻahu ʻoʻeno,"matting with twilled pattern, associated with Kauaʻi. "
ahup,"abbreviation for ahupuaʻa₁, land division usually extending from the uplands to the sea... "
ʻahu poʻo nui,cloth bound about the head of warriors. 
ahupuaʻa₁,"land division usually extending from the uplands to the sea, so called because the boundary was marked by a heap (ahu) of stones surmounted by an image of a pig (puaʻa), or because a pig or other tribute was laid on the altar as tax to the chief. The landlord or owner of an ahupuaʻa might be a konohiki. "
ahupuaʻa₂,the altar on which the pig was laid as payment to the chief for use of the ahupuaʻaland. 
ʻahu ua,"old type of raincoat made of dried ti leaves fastened to an olonā net, or consisting of a small mat about 1.2 by 1.8 m, made of makaloa sedge, and so supple that it could be rolled up; to wear this garment. Today, raincoat is kukaweke and kuka ua. "
ʻahu uhi waʻa,mat canoe covering that protected paddlers in storms. 
ʻahu ʻula₁,"feather cloak or cape made of the feathers of the ʻōʻō, ʻiʻiwi and other birds, usually red or yellow trimmed with black or green, formerly worn by high chiefs and kings. Today [ca.1957] about 160 have been located in museums and collections of the world, the largest being in the Bishop Museum, Honolulu. Imitation cloaks of plush, felt, paper, or dyed feathers (rare) are worn today in pageants and by members of Hawaiian societies. lit., royal cloak. "
ʻAhuʻula₂,"a lua fighting stroke. lit., the feather cloak. "
ʻahu ʻula₃, 
ahuulu, 
ahu waiwai,"storehouse, heap of goods. "
ahuwale,"exposed, conspicuous, prominent, obvious, in plain view; heaped up. "
ai₁,"coition; to have sexual relations, cohabit (frequently pronounced ei). "
ai₂, 
ai₄, 
aī,of surprise. 
-aʻi,"nonproductive transitive suffix. see huaʻi, luaʻi, lumaʻi. "
aʻi₁, 
aʻi₂,replacing i often in songs; usually written a i.  
ʻai₂,"score, points in a game, stake, wager. "
ʻai₃,dancing style or type. 
ʻai₄,"   • stroke or hold in lua fighting; 
   • spear thrust.    "
ʻai₅,"stone used in the kimo game other than the stone that is tossed and caught, which is the pōhaku kimo. "
aia₂,"depending on, only if, only when, whatever, whenever. "
aiʻa,Here! Here it is! 
ʻaiā,"   • ungodly, 
   • godless, 
   •  irreligious, unbelieving, careless of observance of taboos; 
   • wicked, wickedness.   "
aia hoʻi,behold! see there! look! suddenly. 
aiāhua,"same as ʻaiā, ungodly; godless;  irreligious, unbelieving, careless of observance of taboos; wicked, wickedness. "
aiāhulu, 
aʻiaʻi₁,"   • bright as moonlight; brightness, 
   • fair, 
   • white, 
   • clear, clearness
   • pure,
   • brilliant, shining;    "
aʻiaʻi₂,"a native tree or shrub (Streblus sandwicensis [Pseudomorus sandwicensis and P. brunoniana are synonyms]), with narrow-ovate leaves, and milky sap; a member of the fig family. "
-ʻaiʻai, 
ʻaiʻai₁, 
ʻaiʻai₂,"dependent, one living on the resources of another. "
ʻaiʻaiā, 
ʻaiʻaiele,"swinging, unsteady motion. "
aia i laila,"there, to be there. "
aia i lalo,down there. 
aia i luna,up there. 
ʻai ʻāina,to rule or own land. 
ʻaiʻaiohua,name given for persons sacrificed for not observing taboos during the offering of prayers by the priest (pronunciation not certain). 
aia kā,There now! So it's there after all! 
ʻaiakahonu,"lit., food of the turtle. "
ʻaiakanēnē,"a native trailing, woody plant (Coprosma ernodeoides), with narrow, tiny leaves and black, berry-like fruits. lit., food of the nēnē goose. "
aia lā,There! I told you so! There it is! 
ʻāʻīʻalaʻala, 
ʻai aliʻi,to rule (or eat) as a chief. 
ʻaialo,"attendant of the chief's household, intimate of a chief. lit., eating [in the] presence. "
ʻai ā manō,"to eat like a shark. fig., to have a ravenous appetite. "
ʻaiʻami,"type of hula with little foot movement, but with hip revolving throughout the dance; to dance thus. "
ʻaiana,"clothes iron; to iron, press, as clothes. "
aia naʻe,"but, furthermore. "
ʻai ā puaʻa,to eat like a pig; to eat greedily; to wolf food. 
ʻaiau₁,to look about with covetous or jealous eyes; to practice sorcery or poisoning. 
ʻaiau₂,"weary, discouraged by long continued work. "
ʻaiʻē,debt; to owe. 
ʻaiea₁,"all species of the endemic Hawaiian genus Nothocestrum, soft-wooded shrubs and trees with ovate or oblong leaves, yellowish flowers, and whitish to reddish berries. One slender species was used for thatching sticks (ʻaho) and fire-making. "
ʻaiea₂, 
ʻaiea₃,exhaustion. 
ʻaieana, 
ʻai haʻa₁,"hula step danced with bended knees; the chanting for this dance is usually bombastic and emphatic (UL 266); to dance thus. lit., low style. "
ʻai haʻa₂,allegro. 
ʻai hamu, 
ʻaihē,center of a taro corm. 
ai hea,Where? also: aia i hea. 
ʻai hele,"lit., to eat walking. "
ʻai hoʻokano,"to eat proudly of high-priced food, as a rich person; fig., to have many women. "
aihuawaʻa,"vagabond; to wander, roam. "
ʻaihueea, 
ʻaihue kanaka,to kidnap; kidnapper. 
ʻaihumuhumu,to eat in order to destroy; to destroy wantonly or by violence or sorcery. 
ʻaiʻili loko,to have the use of fish ponds (loko); to control the interior (loko) land division known as ʻili. 
ʻaika,"hard and poor tasting, as thin or inferior fish. "
aikahaʻula,cf. (FS 251). 
ʻāʻīkala,"collar. lit., neck collar. "
ʻāʻīkala kū,stiff collar. 
ʻai kalo paʻa,"unpounded taro. fig., difficult problem that must be chewed, as whole taro. "
ʻAikanaka₁,name of a star. 
ʻAikanaka₂,"lit., man-eating.(HM 241-242). an older cousin of Kawelo; on becoming chief of Kauaʻi he banished Kawelo's parents, thus provoking an invasion. see Kawelo. "
ʻAikanaka₃,"an Oʻahu chief who sent men to fetch the beautiful wife of Halemano, causing the couple to flee the island. "
ʻAikanaka₄,"a Maui chief who married Hinahānaiakamalama. Hina wearied of disposing of her children's excrement and lept into the moon. Her husband, trying to stop her, caught her leg. She hangs in the moon today. "
ʻai kanaka₅,"cannibal, man-eater; to eat human flesh. "
aikāne,friend; friendly; to become a friend. 
ʻaikapa,"a privileged friend who shares the profits of a friend's land, sometimes sharing in the work; one who shares a friend's spouse; to share land or spouse; to pay part of a debt but withhold the remainder. lit., eat [on the] border. "
ʻai kapu,to eat under taboo; to observe eating taboos. 
ʻai kāwele, 
ʻaikena,"sick and tired of a person or situation, surfeited, exhausted, discouraged, fatigued. "
ʻai kepa,"to cut or tear obliquely, as with teeth or edged instrument; to seize or tear with the teeth; to fit by rabbeting, rabbet. "
ʻaikepakepa,"to snap the jaws; to speak rapidly, as with overlapping words; to talk too much or too fast; to jabber. "
ʻāiki,"   • to light up dimly; 
   • to look furtively, peek, peer. "
ʻAikikauelono,"name of a star, possibly Sirius. Also called Hikikauelono (Hiki-kau-e-lono). "
ʻAikiopa,Ethiopia; Ethiopian. 
ʻaikola,"interj. of scorn or derision, especially rejoicing over others' misfortunes, with meaning ""serves you right"" or ""I told you so""; as a verb, to use this term. "
ʻAikoʻo,"name of a wind at Nuʻalolo, Kauaʻi. "
ʻai kū,to eat freely; to do as one wishes; to break taboos or transgress. 
ʻāʻīkū₁,"high collar, stiff collar. "
ʻāʻīkū₂,"spasmodic affection of the neck muscles which draws the head toward the affected side, a torticollis; stiff neck "
ʻāʻīkū₃,croup. 
ʻai kūpele,"medicinal juices mixed with poi or mashed sweet potato, used to build up strength. lit., kneaded poi. "
ʻAikupika,Egypt; Egyptian. 
ai lā, 
ʻaila,"any oil, grease, lard; to oil, grease, lubricate. Many kinds of oil and grease are listed below. "
ʻai lā,scorched or sunburned. 
ʻailaea, 
ʻailahonua,"kerosene. lit., earth oil. "
ʻaila hoʻomaloʻo pena,"turpentine. lit., oil for drying paint. "
ʻaila hoʻonahā,"castor oil. lit., purge oil. "
ai laila,"there, to be there. "
ʻaila kēpama,sperm oil. 
ʻaila koka,cod-liver oil. 
ʻaila kolī,"castor oil. lit., castor-bean oil. "
